,Taxon, Habitat, Diet, Body Weight, BMR
22,Trichosurus vulpecula, Arboreal, Leaves,1982.0,0.32
25,Pseudocheirus peregrinus, Arboreal, Leaves,860.0,0.33
29,Dendrolagus matshiei, Arboreal, Leaves,6960.0,0.21
30,Phascolarctos cinereus, Arboreal, Leaves,4765.0,0.22
35,Bradypus variagatus, Arboreal, Leaves,3790.0,0.18
36,Choloepus hoffmanrii, Arboreal, Leaves,4250.0,0.19
99,Lemur fulvus, Arboreal, Leaves,2419.0,0.32
144,Elephas maximus, Terrestrial, Leaves,2730000.0,0.15
146,Dendrohyrax dorsalis, Arboreal, Leaves,2210.0,0.42
147,Heterohyrax brucei, Terrestrial, Leaves,1660.0,0.43
148,Procavia capensis, Terrestrial, Leaves,2630.0,0.41
149,Procavia habessinica, Terrestrial, Leaves,2250.0,0.41
150,Procavia johnstoni, Terrestrial, Leaves,2750.0,0.45
187,Dipodomys microps, Terrestrial, Leaves,57.0,1.17
206,Neotoma cinerea, Terrestrial, Leaves,321.0,0.78
207,Neotoma fuscipes, Terrestrial, Leaves,187.0,0.79
208,Neotoma labigula, Terrestrial, Leaves,194.0,0.73
209,Neotoma lepida, Terrestrial, Leaves,120.0,0.71
214,Dicrostonyx groenlandicus, Terrestrial, Leaves,61.0,1.55
215,Dicrostonyx torquatus, Terrestrial, Leaves,47.0,1.97
225,Phenacomys intermedius, Terrestrial, Leaves,26.0,3.0
237,Lagurus curtatus, Terrestrial, Leaves,29.0,1.56
251,Capromys pilorides, Arboreal, Leaves,2630.0,0.23
