,Taxon, Habitat, Diet, Body Weight, BMR
1,Ornithorhynchus anatinus, Aquatic, Invertebrates,690.0,0.31
46,Tenrec ecaudatus, Aquatic, Invertebrates,790.0,0.33
129,Lutra lutra, Aquatic, Vertebrates,10000.0,0.45
130,Enhydra lutris, Aquatic, Vertebrates,18000.0,0.72
139,Phoca fasciata, Aquatic, Vertebrates,54000.0,0.39
140,Phoca vitulina, Aquatic, Vertebrates,27400.0,0.48
141,Pagophilus groenlandicus, Aquatic, Vertebrates,38600.0,0.38
142,Tursiops truncatus, Aquatic, Vertebrates,175000.0,0.34
143,Phocoena phocoena, Aquatic, Vertebrates,28500.0,0.68
