,Taxon, Habitat, Diet, Body Weight, BMR
171,Sciurus aberti, Arboreal, Seeds/Nuts,624.0,0.69
172,Tamiasciurus hudsonicus, Arboreal, Seeds/Nuts,224.0,1.09
177,Tamias alpinus, Arboreal, Seeds/Nuts,39.0,1.48
178,Tamias amoenus, Arboreal, Seeds/Nuts,57.0,1.45
179,Tamias striatus, Arboreal, Seeds/Nuts,107.0,1.25
180,Glaucomys volans, Arboreal, Seeds/Nuts,70.0,1.29
182,Perognathus californicus, Terrestrial, Seeds/Nuts,22.0,1.0
183,Perognathus longimembrus, Terrestrial, Seeds/Nuts,8.2,2.0
184,Microdipodops pallidus, Terrestrial, Seeds/Nuts,15.0,1.5
185,Dipodomys agilis, Terrestrial, Seeds/Nuts,61.0,1.02
186,Dipodomys merriami, Terrestrial, Seeds/Nuts,37.0,1.29
188,Dipodomys panamintinus, Terrestrial, Seeds/Nuts,57.0,1.2
189,Liomys irroratus, Terrestrial, Seeds/Nuts,48.0,1.1
190,Liomys salvini, Terrestrial, Seeds/Nuts,44.0,1.07
191,Heteromys anomalus, Arboreal, Seeds/Nuts,69.0,1.45
192,Reithrodontomys megaloti, Terrestrial, Seeds/Nuts,9.0,1.94
193,Peromyscus californicus, Terrestrial, Seeds/Nuts,47.8,1.02
194,Peromyscus crinitus, Terrestrial, Seeds/Nuts,19.0,1.55
195,Peromyscus eremicus, Terrestrial, Seeds/Nuts,20.8,1.55
196,Peromyscus leucopus, Terrestrial, Seeds/Nuts,26.0,2.2
197,Peromyscus maniculatus, Terrestrial, Seeds/Nuts,19.0,1.9
198,Peromyscus megalops, Terrestrial, Seeds/Nuts,66.0,1.4
199,Peromyscus sitkensis, Terrestrial, Seeds/Nuts,28.0,1.65
200,Peromyscus thomasi, Terrestrial, Seeds/Nuts,111.0,1.1
201,Peromyscus truei, Terrestrial, Seeds/Nuts,33.0,1.7
217,Clethrionomys gapperi, Terrestrial, Seeds/Nuts,16.5,3.6
218,Clethrionomys glareolus, Terrestrial, Seeds/Nuts,19.8,2.8
219,Clethrionomys rufocanus, Terrestrial, Seeds/Nuts,27.5,2.0
239,Meriones unguiculatus, Terrestrial, Seeds/Nuts,6.0,6.7
243,Mus musculus, Terrestrial, Seeds/Nuts,20.5,3.4
244,Zapus hudsonius, Terrestrial, Seeds/Nuts,25.0,1.5
248,Dasyprocta azarea, Arboreal, Seeds/Nuts,3849.0,0.49
249,Dasyprocta leporina, Arboreal, Seeds/Nuts,2687.0,0.58
