,Taxon, Habitat, Diet, Body Weight, BMR
3,Didelphis marsupialis, Terrestrial, Omnivorous,1350.0,0.45
23,Cercartetus nanus, Arboreal, Omnivorous,70.0,0.86
24,Petaurus breviceps, Arboreal, Omnivorous,128.0,0.69
102,Arctocebus calabarensis, Arboreal, Omnivorous,206.0,0.64
103,Euoticus elegantulus, Arboreal, Omnivorous,262.0,0.82
105,Saguinus geoffroyi, Arboreal, Omnivorous,225.0,1.04
110,Papio anubis, Terrestrial, Omnivorous,9500.0,0.3
111,Papio papio, Terrestrial, Omnivorous,6230.0,0.41
113,Pan troglodytes, Arboreal, Omnivorous,36900.0,0.26
114,Homo sapiens, Terrestrial, Omnivorous,70000.0,0.21
119,Ursus americanus, Terrestrial, Omnivorous,77270.0,0.36
131,Nandinia binotata, Arboreal, Omnivorous,4270.0,0.27
132,Arctogalidia trivirgata, Arboreal, Omnivorous,2013.0,0.3
133,Paradoxurus hermaphroditus, Arboreal, Omnivorous,3410.0,0.21
134,Arctictis binturong, Arboreal, Omnivorous,14280.0,0.16
152,Sus scrofa, Terrestrial, Omnivorous,75000.0,0.11
173,Spermophilus citellus, Terrestrial, Omnivorous,240.0,0.95
174,Spermophilus leucums?, Terrestrial, Omnivorous,96.0,1.0
175,Spermophilus tereticaudus, Terrestrial, Omnivorous,129.0,1.0
176,Spermophilus undulatus, Terrestrial, Omnivorous,750.0,0.9
210,Cricetus cricetus, Terrestrial, Omnivorous,400.0,0.57
211,Mesocricetus auratus, Terrestrial, Omnivorous,98.0,1.5
238,Meriones unguiculatus, Terrestrial, Omnivorous,70.0,1.4
242,Rattus norvegicus, Terrestrial, Omnivorous,237.0,1.32
245,Napaeozapus insignia, Terrestrial, Omnivorous,22.0,1.8
